"time","h1","h2","tRun","der(h1)","der(h2)","der(tRun)","tMark","seq","paused","shutting","valve1","valve2","valve3"
0,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
1,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
2,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
3,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
4,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
5,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
6,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
7,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
8,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
9,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
10,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
11,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
12,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
13,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
14,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
15,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
16,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
17,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
18,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
19,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
20,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
20.00000000400054,0.05,0.05,0,0,0,0,0,1,0,0,0,0,0
20.00000000400054,0.05,0.05,0,0.005,0,0,0,2,0,0,1,0,0
21,0.05499999997999728,0.05,0,0.005,0,0,0,2,0,0,1,0,0
22,0.05999999997999728,0.05,0,0.005,0,0,0,2,0,0,1,0,0
23,0.06499999997999728,0.05,0,0.005,0,0,0,2,0,0,1,0,0
24,0.06999999997999727,0.05,0,0.005,0,0,0,2,0,0,1,0,0
25,0.07499999997999728,0.05,0,0.005,0,0,0,2,0,0,1,0,0
26,0.07999999997999727,0.05,0,0.005,0,0,0,2,0,0,1,0,0
27,0.08499999997999727,0.05,0,0.005,0,0,0,2,0,0,1,0,0
28,0.08999999997999727,0.05,0,0.005,0,0,0,2,0,0,1,0,0
29,0.09499999997999728,0.05,0,0.005,0,0,0,2,0,0,1,0,0
30,0.09999999997999727,0.05,0,0.005,0,0,0,2,0,0,1,0,0
31,0.1049999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
32,0.1099999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
33,0.1149999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
34,0.1199999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
35,0.1249999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
36,0.1299999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
37,0.1349999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
38,0.1399999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
39,0.1449999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
40,0.1499999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
41,0.1549999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
42,0.1599999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
43,0.1649999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
44,0.1699999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
45,0.1749999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
46,0.1799999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
47,0.1849999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
48,0.1899999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
49,0.1949999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
50,0.1999999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
51,0.2049999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
52,0.2099999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
53,0.2149999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
54,0.2199999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
55,0.2249999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
56,0.2299999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
57,0.2349999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
58,0.2399999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
59,0.2449999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
60,0.2499999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
61,0.2549999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
62,0.2599999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
63,0.2649999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
64,0.2699999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
65,0.2749999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
66,0.2799999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
67,0.2849999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
68,0.2899999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
69,0.2949999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
70,0.2999999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
71,0.3049999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
72,0.3099999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
73,0.3149999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
74,0.3199999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
75,0.3249999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
76,0.3299999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
77,0.3349999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
78,0.3399999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
79,0.3449999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
80,0.3499999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
81,0.3549999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
82,0.3599999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
83,0.3649999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
84,0.3699999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
85,0.3749999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
86,0.3799999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
87,0.3849999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
88,0.3899999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
89,0.3949999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
90,0.3999999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
91,0.4049999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
92,0.4099999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
93,0.4149999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
94,0.4199999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
95,0.4249999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
96,0.4299999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
97,0.4349999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
98,0.4399999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
99,0.4449999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
100,0.4499999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
101,0.4549999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
102,0.4599999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
103,0.4649999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
104,0.4699999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
105,0.4749999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
106,0.4799999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
107,0.4849999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
108,0.4899999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
109,0.4949999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
110,0.4999999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
111,0.5049999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
112,0.5099999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
113,0.5149999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
